lotplan,date,harvested_tonnes,min_N,max_N,leaf_water_content,sugar_made,dollar_made
10RP747768,2019-04-21,0,111.1424332,126.1424332,0.675714067,0,0
10RP747768,2019-05-01,0,105.8309038,120.8309038,0.738558411,0,0
10RP747768,2019-05-11,3.908,95.30973451,110.3097345,0.68540719,0.592121212121212,85.976
10RP747768,2019-05-21,331.203,,,,50.1822727272727,7286.466
10RP747768,2019-06-10,0,135,150,0.514283771,0,0
10RP747768,2019-06-20,0,93.30434783,108.3043478,0.751989464,0,0
10RP747768,2019-06-30,7.816,96.72106825,111.7210682,0.726850292,1.18424242424242,171.952
10RP747768,2019-07-20,0,100.1470588,115.1470588,0.6975485,0,0
10RP747768,2019-07-30,4.885,103.5223881,118.5223881,,0.740151515151515,107.47
10RP747768,2019-08-09,0,105.0447761,120.0447761,0.729913598,0,0
1121C124168,2016-12-22,0,129.7621457,144.7621457,0.673118355,0,0
1121C124168,2017-01-01,0,113.7204288,128.7204288,0.656605744,0,0
1121C124168,2017-01-11,2087.849,109.2012363,124.2012363,0.64783588,316.340757575758,45932.678
1121C124168,2017-02-10,0,102.9814784,117.9814784,0.625927542,0,0
1121C124168,2017-02-20,0,98.21268384,113.2126838,0.695970971,0,0
1121C124168,2017-03-02,3792.714,120.4208083,135.4208083,0.588879993,574.653636363636,83439.708
1121C124168,2017-03-12,3342.317,110.8491281,125.8491281,0.670925591,506.411666666667,73530.974
1121C124168,2017-04-01,0,101.8674917,116.8674917,0.752233902,0,0
1121C124168,2017-04-11,346.835,103.4150973,118.4150973,0.719754516,52.5507575757576,7630.37
1121C124168,2017-05-01,13254.959,135,150,0.410361934,2008.32712121212,291609.098
1121C124168,2017-05-11,0,95.68363979,110.6836398,0.736830903,0,0
1121C124168,2017-05-21,0,101.0536044,116.0536044,0.677620473,0,0
1121C124168,2017-05-31,422.064,96.93761815,111.9376181,0.680882056,63.9490909090909,9285.408
1121C124168,2017-06-20,2645.716,101.152669,116.152669,0.764589731,400.866060606061,58205.752
1121C124168,2017-07-10,3649.095,118.6453456,133.6453456,0.646387971,552.893181818182,80280.09
1121C124168,2017-07-20,0,101.7282312,116.7282312,0.764259642,0,0
1121C124168,2017-07-30,3464.442,129.5402078,144.5402078,0.689592961,524.915454545455,76217.724
1121C124168,2017-08-09,690.739,115.1713283,130.1713283,0.680606972,104.657424242424,15196.258
1121C124168,2017-08-19,1392.225,122.7952565,137.7952565,0.730077404,210.943181818182,30628.95
1121C124168,2017-09-08,3655.934,134.1110128,149.1110128,0.679926281,553.929393939394,80430.548
1121C124168,2017-09-18,0,135,150,0.715933075,0,0
1121C124168,2017-09-28,8303.523,134.9114522,149.9114522,0.664149478,1258.10954545455,182677.506
1121C124168,2017-10-08,552.005,134.3085106,149.3085106,0.576502974,83.6371212121212,12144.11
1121C124168,2017-10-28,6.839,122.3454545,137.3454545,0.61442269,1.03621212121212,150.458
1121C124168,2017-11-07,0,128.2688588,143.2688588,0.639180803,0,0
1121C124168,2017-11-17,0,135,150,0.778463555,0,0
1121C124168,2017-11-27,12905.193,134.9132456,149.9132456,0.556340563,1955.33227272727,283914.246
1121C124168,2017-12-07,443.558,106.8059541,121.8059541,0.606178007,67.2057575757576,9758.276
1121C124168,2017-12-17,0,114.4394851,129.4394851,0.604747426,0,0
1121C124168,2017-12-27,1352.168,108.2696047,123.2696047,0.639156219,204.873939393939,29747.696
1121C124168,2018-01-06,3073.642,134.739856,149.739856,0.626334225,465.703333333333,67620.124
1121C124168,2018-01-26,0,135,150,0.680142722,0,0
1121C124168,2018-02-15,8079.79,130.9901829,145.9901829,0.680528831,1224.21060606061,177755.38
1121C124168,2018-03-17,68.39,107.6616509,122.6616509,0.669167487,10.3621212121212,1504.58
1121C124168,2018-04-16,1182.17,132.3037503,147.3037503,0.640783829,179.116666666667,26007.74
1121C124168,2018-04-26,0,93.14399145,108.1439914,0.723664535,0,0
1121C124168,2018-05-06,4969.022,129.9543301,144.9543301,0.713714158,752.882121212121,109318.484
1121C124168,2018-05-26,0,113.5549872,128.5549872,0.657222829,0,0
1121C124168,2018-06-05,0,102.6994539,117.6994539,0.668844519,0,0
1121C124168,2018-06-15,2413.19,115.8485384,130.8485384,0.671262068,365.634848484849,53090.18
1121C124168,2018-06-25,503.155,116.2236058,131.2236058,0.678338472,76.2356060606061,11069.41
1121C124168,2018-07-05,3224.1,126.1210352,141.1210352,0.686648938,488.5,70930.2
1121C124168,2018-07-15,1454.753,112.689997,127.689997,0.683335923,220.417121212121,32004.566
1121C124168,2018-07-25,1010.218,122.1311292,137.1311292,0.701802097,153.063333333333,22224.796
1121C124168,2018-08-04,1009.241,130.6875,145.6875,0.656695866,152.915303030303,22203.302
1121C124168,2018-08-14,1702.911,133.6328315,148.6328315,0.700852852,258.016818181818,37464.042
1121C124168,2018-08-24,1741.014,134.6860068,149.6860068,0.676613916,263.79,38302.308
1121C124168,2018-09-03,2707.267,134.2795567,149.2795567,0.702612418,410.19196969697,59559.874
1121C124168,2018-09-13,796.255,134.9629172,149.9629172,0.667104176,120.644696969697,17517.61
1121C124168,2018-10-03,0,135,150,0.686339177,0,0
1121C124168,2018-10-23,884.185,133.3333333,148.3333333,0.649425276,133.967424242424,19452.07
1121C124168,2018-11-02,3.908,130.7142857,145.7142857,0.608199199,0.592121212121212,85.976
1121C124168,2018-11-12,0,134.961039,149.961039,0.737701804,0,0
1121C124168,2018-11-22,355.628,121.4285714,136.4285714,0.638338626,53.8830303030303,7823.816
1121C124168,2018-12-02,0,134.976,149.976,0.688974602,0,0
1121C124168,2019-01-01,0,135,150,0.70649145,0,0
1121C124168,2019-01-21,5535.682,118.5669601,133.5669601,0.658470793,838.739696969697,121785.004
1121C124168,2019-02-20,0,101.8894091,116.8894091,0.725265732,0,0
1121C124168,2019-03-02,252.066,111.1309058,126.1309058,0.673331654,38.1918181818182,5545.452
1121C124168,2019-03-12,0,96.54653335,111.5465333,0.731656413,0,0
1121C124168,2019-04-11,2652.555,123.8015755,138.8015755,0.684409496,401.902272727273,58356.21
